City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Souillac,MU,71.98,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
4,Garissa,KE,79.18,broken clouds,-0.4536,39.6401,Sharif Plaza Hotel
8,Vaini,TO,78.96,light rain,-21.2,-175.2,Keleti Beach Resort
15,Rikitea,PF,73.22,light rain,-23.1203,-134.9692,People ThankYou
18,Karratha,AU,71.98,clear sky,-20.7377,116.8463,ibis Styles Karratha
25,Butaritari,KI,81.54,light rain,3.0707,172.7902,Isles Sunset Lodge
27,Galesong,ID,75.22,overcast clouds,-5.3166,119.3661,Sapriadi Appy
28,Ixtapa,MX,85.23,clear sky,20.7,-105.2,Hotel Plaza Providencia
29,San Patricio,US,86.09,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
31,Mount Isa,AU,78.57,light rain,-20.7333,139.5,ibis Styles Mt Isa Verona
32,King City,US,71.78,overcast clouds,36.2127,-121.126,Days Inn by Wyndham King City
34,Atuona,PF,78.73,clear sky,-9.8,-139.0333,Villa Enata
36,Keti Bandar,PK,77.83,clear sky,24.1447,67.4497,Haji laloo memon house
37,Georgetown,MY,77.9,few clouds,5.4112,100.3354,Cititel Penang
38,Thinadhoo,MV,82.54,overcast clouds,0.5333,72.9333,
42,Ponerihouen,NC,78.49,few clouds,-21.0833,165.4,Camping de Tiakan
43,Am Timan,TD,79.03,broken clouds,11.0297,20.2827,Palais du chef Canton Salamt
45,Sao Filipe,CV,79.74,overcast clouds,14.8961,-24.4956,Hotel Xaguate
49,Hirara,JP,71.46,scattered clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
51,Batangafo,CF,75.74,broken clouds,7.3008,18.2833,OCHA Office
53,Kampot,KH,78.85,broken clouds,10.6167,104.1833,Two Moons Hotel
56,Nabire,ID,76.84,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
59,Chake Chake,TZ,76.69,few clouds,-5.2459,39.7666,Hotel Archipelago
63,Kloulklubed,PW,77.5,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
64,Iberia,US,78.06,clear sky,29.9502,-91.7507,back to back rv park
65,Nishihara,JP,70.88,scattered clouds,26.1842,127.7558,Minshuku Agaihama
66,Bathsheba,BB,75.81,broken clouds,13.2167,-59.5167,Atlantis Hotel
71,Kapaa,US,82.38,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
73,Alyangula,AU,84.11,broken clouds,-13.8483,136.4192,Groote Eylandt Lodge
76,Ponta Do Sol,PT,74.03,broken clouds,32.6667,-17.1,Hotel do Campo
79,Sorong,ID,79.38,overcast clouds,-0.8833,131.25,waigo splash hotel
81,Acapulco,MX,84.02,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
84,Tshikapa,CD,71.47,broken clouds,-6.4167,20.8,Hôtel Tshia-Muntu de Tshikapa
86,Araouane,ML,86.83,overcast clouds,18.9048,-3.5265,
89,Conceicao Do Araguaia,BR,76.39,overcast clouds,-8.2578,-49.2647,Tarumã Tropical Hotel
96,Salalah,OM,73.49,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
97,Dingle,PH,75.04,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
100,Sola,VU,80.64,few clouds,-13.8833,167.55,Leumerus Bungalows
101,Almeirim,BR,84.09,broken clouds,-1.5233,-52.5817,Ricácio Hotel
102,Hithadhoo,MV,82.31,overcast clouds,-0.6,73.0833,Scoop Guest House
104,Kununurra,AU,78.78,scattered clouds,-15.7667,128.7333,Hotel Kununurra
110,Avarua,CK,77.05,light rain,-21.2078,-159.775,Paradise Inn
111,Bilma,NE,80.26,clear sky,18.6853,12.9164,Expeditions Ténére voyages
113,Samarai,PG,83.26,overcast clouds,-10.6167,150.6667,Nuli Sapi
114,Mumbwa,ZM,74.77,scattered clouds,-14.9783,27.0619,Mumbwa Motel
118,Dicabisagan,PH,76.87,broken clouds,17.0818,122.4157,Nancy Montanes Bernardo
122,Yurimaguas,PE,91.56,scattered clouds,-5.9,-76.0833,Rio Huallaga Hotel & Business Center
123,Turan,VN,76.98,scattered clouds,16.0678,108.2208,Sun River Hotel
124,Fayetteville,US,70.25,clear sky,35.0527,-78.8784,American Eagle Inn
126,Bengkulu,ID,76.17,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
128,Damaturu,NG,81.21,broken clouds,11.747,11.9608,"Hayas Guest Inn, Central Roundabout, Gujba Road"
129,Diffa,NE,84.45,scattered clouds,13.3154,12.6113,ProDAF/Diffa
133,Muli,MV,82.58,scattered clouds,2.9167,73.5667,Medhufushi Island Resort
134,Ribeira Grande,PT,70.81,overcast clouds,38.5167,-28.7,Quinta da Meia Eira
136,Malakal,SS,79.21,scattered clouds,9.5334,31.6605,Nile Palace Hotel
138,Roebourne,AU,71.28,clear sky,-20.7833,117.1333,Latitude20 Roebourne Village
