City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Bluff,NZ,-46.6,168.3333,55.53,68,96,27.02,overcast clouds
1,San Julian,MX,21.0167,-102.1667,68.02,47,68,7.14,broken clouds
2,Upernavik,GL,72.7868,-56.1549,29.95,97,100,16.11,snow
3,Souillac,MU,-20.5167,57.5167,71.98,83,40,3.44,scattered clouds
4,Garissa,KE,-0.4536,39.6401,79.18,71,74,13.31,broken clouds
5,Beringovskiy,RU,63.05,179.3167,6.76,91,98,12.88,overcast clouds
6,Rezekne,LV,56.5,27.3167,43.92,84,21,8.34,few clouds
7,Mataura,NZ,-46.1927,168.8643,58.48,44,75,8.48,broken clouds
8,Vaini,TO,-21.2,-175.2,78.96,83,40,9.22,light rain
9,Nikolskoye,RU,59.7035,30.7861,48.02,85,100,7.56,overcast clouds
10,Cape Town,ZA,-33.9258,18.4232,65.08,73,40,1.99,scattered clouds
11,Jamestown,US,42.097,-79.2353,54.72,78,90,13.0,overcast clouds
12,Alice Springs,AU,-23.7,133.8833,62.15,82,75,4.61,broken clouds
13,Chapais,CA,49.7834,-74.8492,42.58,98,100,3.15,overcast clouds
14,Nanortalik,GL,60.1432,-45.2371,34.02,75,60,11.3,broken clouds
15,Rikitea,PF,-23.1203,-134.9692,73.22,86,73,14.99,light rain
16,Khatanga,RU,71.9667,102.5,5.72,96,100,11.12,light snow
17,Tuktoyaktuk,CA,69.4541,-133.0374,28.4,80,75,8.05,broken clouds
18,Karratha,AU,-20.7377,116.8463,71.98,64,0,6.22,clear sky
19,Asfi,MA,32.2994,-9.2372,66.34,86,21,8.55,few clouds
20,Narsaq,GL,60.9167,-46.05,26.82,68,69,7.11,broken clouds
21,Mukhen,RU,48.1,136.1,28.98,64,0,0.72,clear sky
22,Punta Arenas,CL,-53.15,-70.9167,51.91,58,0,18.41,clear sky
23,Oinoi,GR,38.3235,23.6101,57.52,91,40,3.44,scattered clouds
24,Hofn,IS,64.2539,-15.2082,39.47,59,100,22.57,overcast clouds
25,Butaritari,KI,3.0707,172.7902,81.54,77,35,9.69,light rain
26,Busselton,AU,-33.65,115.3333,53.1,63,93,18.37,overcast clouds
27,Galesong,ID,-5.3166,119.3661,75.22,79,95,4.38,overcast clouds
28,Ixtapa,MX,20.7,-105.2,85.23,78,6,5.99,clear sky
29,San Patricio,US,28.017,-97.5169,86.09,40,0,13.09,clear sky
30,Elk Plain,US,47.0532,-122.3976,62.49,46,1,1.01,clear sky
31,Mount Isa,AU,-20.7333,139.5,78.57,24,13,5.75,light rain
32,King City,US,36.2127,-121.126,71.78,37,100,0.18,overcast clouds
33,Saint-Vallier,FR,46.6411,4.3711,57.49,94,97,7.25,light rain
34,Atuona,PF,-9.8,-139.0333,78.73,75,4,19.86,clear sky
35,Hermanus,ZA,-34.4187,19.2345,61.9,85,100,11.56,overcast clouds
36,Keti Bandar,PK,24.1447,67.4497,77.83,69,2,10.02,clear sky
37,Georgetown,MY,5.4112,100.3354,77.9,92,20,3.44,few clouds
38,Thinadhoo,MV,0.5333,72.9333,82.54,76,99,20.07,overcast clouds
39,Qaanaaq,GL,77.484,-69.3632,12.4,69,100,8.86,overcast clouds
40,Barrow,US,71.2906,-156.7887,28.42,86,90,23.02,mist
41,Gitarama,RW,-2.0744,29.7567,65.66,92,100,1.92,overcast clouds
42,Ponerihouen,NC,-21.0833,165.4,78.49,47,16,2.91,few clouds
43,Am Timan,TD,11.0297,20.2827,79.03,31,72,3.6,broken clouds
44,Ostrovnoy,RU,68.0531,39.5131,36.12,80,98,10.42,overcast clouds
45,Sao Filipe,CV,14.8961,-24.4956,79.74,75,96,8.16,overcast clouds
46,New Norfolk,AU,-42.7826,147.0587,56.91,55,100,8.01,overcast clouds
47,Saint-Joseph,RE,-21.3667,55.6167,68.38,84,17,9.91,few clouds
48,Cherskiy,RU,68.75,161.3,-2.13,99,100,5.35,overcast clouds
49,Hirara,JP,24.8,125.2833,71.46,83,40,4.61,scattered clouds
50,Anadyr,RU,64.75,177.4833,-7.01,83,0,13.42,clear sky
51,Batangafo,CF,7.3008,18.2833,75.74,66,77,1.3,broken clouds
52,Ayan,RU,56.45,138.1667,21.36,48,4,5.3,clear sky
53,Kampot,KH,10.6167,104.1833,78.85,92,80,3.51,broken clouds
54,Ossora,RU,59.2353,163.0719,8.02,78,100,11.61,overcast clouds
55,Bethel,US,41.3712,-73.414,61.11,83,90,1.01,overcast clouds
56,Nabire,ID,-3.3667,135.4833,76.84,90,86,1.9,overcast clouds
57,Longyearbyen,SJ,78.2186,15.6401,33.64,69,40,19.57,scattered clouds
58,Burnie,AU,-41.0667,145.9167,56.21,59,92,9.46,overcast clouds
59,Chake Chake,TZ,-5.2459,39.7666,76.69,88,11,8.14,few clouds
60,Poltava,UA,49.5937,34.5407,40.96,69,0,6.58,clear sky
61,Hobart,AU,-42.8794,147.3294,57.25,62,75,3.0,broken clouds
62,Changtu,CN,42.7788,124.0955,34.39,45,61,4.43,broken clouds
