City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Yumen,CN,2021-10-29 06:10:46,40.2833,97.2,54.27,20,50,5.48
1,Yar-Sale,RU,2021-10-29 06:10:47,66.8333,70.8333,23.65,96,100,12.12
2,Belaya Gora,RU,2021-10-29 06:10:48,68.5333,146.4167,3.7,97,100,1.77
3,Busselton,AU,2021-10-29 06:10:48,-33.65,115.3333,62.04,45,47,5.17
4,Pietersburg,ZA,2021-10-29 06:10:50,-23.9045,29.4688,48.6,65,63,4.68
5,Port Hardy,CA,2021-10-29 06:10:50,50.6996,-127.4199,42.98,93,75,9.22
6,Sitka,US,2021-10-29 06:10:51,57.0531,-135.33,40.89,75,75,11.5
7,Si Satchanalai,TH,2021-10-29 06:10:51,17.5169,99.7598,83.57,74,52,4.14
8,Yellowknife,CA,2021-10-29 06:09:01,62.456,-114.3525,33.42,100,95,1.99
9,Kapaa,US,2021-10-29 06:10:52,22.0752,-159.319,78.78,97,75,6.91
10,Saskylakh,RU,2021-10-29 06:10:53,71.9167,114.0833,-13.59,100,98,5.03
11,Punta Arenas,CL,2021-10-29 06:08:03,-53.15,-70.9167,51.91,71,90,17.27
12,Burnie,AU,2021-10-29 06:10:54,-41.0667,145.9167,56.91,63,100,19.86
13,Bredasdorp,ZA,2021-10-29 06:10:54,-34.5322,20.0403,67.28,62,49,6.58
14,Ushuaia,AR,2021-10-29 06:07:52,-54.8,-68.3,55.06,47,20,3.44
15,Shingu,JP,2021-10-29 06:10:56,33.7333,135.9833,65.8,49,0,5.53
16,Fayaoue,NC,2021-10-29 06:06:16,-20.65,166.5333,75.45,72,0,14.79
17,Coahuayana,MX,2021-10-29 06:10:56,18.7333,-103.6833,76.86,92,8,2.86
18,Kajaani,FI,2021-10-29 06:08:38,64.2273,27.7285,46.45,100,90,6.91
19,Vokhma,RU,2021-10-29 06:10:57,58.9303,46.7586,25.88,65,68,4.41
20,Duluth,US,2021-10-29 06:08:40,46.7833,-92.1066,48.34,91,90,8.05
21,Hobart,AU,2021-10-29 06:08:21,-42.8794,147.3294,46.26,91,75,4.0
22,Ishigaki,JP,2021-10-29 06:10:58,24.3448,124.1572,75.4,61,5,11.99
23,Provideniya,RU,2021-10-29 06:10:58,64.3833,-173.3,15.91,67,90,15.66
24,Maturin,VE,2021-10-29 06:10:59,9.75,-63.1767,71.91,98,98,3.29
25,Malindi,KE,2021-10-29 06:10:59,-3.2175,40.1191,81.93,70,24,8.68
26,Khatanga,RU,2021-10-29 06:11:00,71.9667,102.5,-15.56,100,92,4.52
27,Victoria,HK,2021-10-29 06:10:56,22.2855,114.1577,84.25,83,35,14.65
28,Yulara,AU,2021-10-29 06:11:01,-25.2406,130.9889,87.64,9,2,6.91
